RUN     M     N  col major  row major  col major  row major      DIFF
                 (t in s)   (t in s)   (GFLOPS)   (GFLOPS)         
  0  1000  1000     0.0075     0.0075   267.3267   267.3267     0.0000 
  1  1100  1100     0.0092     0.0092   263.5644   263.7800     0.0000 
  2  1200  1200     0.0107     0.0111   268.0396   259.4851     0.0000 
  3  1300  1300     0.0127     0.0128   265.0980   263.6400     0.0000 
  4  1400  1400     0.0150     0.0156   261.3333   251.1845     0.0000 
  5  1500  1500     0.0180     0.0171   249.5050   262.8713     0.0000 
  6  1600  1600     0.0192     0.0196   266.0392   261.0196     0.0000 
  7  1700  1700     0.0220     0.0224   263.2475   257.5248     0.0000 
  8  1800  1800     0.0246     0.0251   263.0495   257.9417     0.0000 
  9  1900  1900     0.0273     0.0276   264.4950   261.9020     0.0000 
 10  2000  2000     0.0306     0.0309   261.3861   258.8235     0.0000 
 11  2100  2100     0.0337     0.0337   261.9802   261.9802     0.0000 
 12  2200  2200     0.0371     0.0374   260.6154   258.7723     0.0000 
 13  2300  2300     0.0404     0.0412   261.8812   256.7961     0.0000 
 14  2400  2400     0.0448     0.0443   257.2427   259.7647     0.0000 
 15  2500  2500     0.0481     0.0486   259.9010   257.3529     0.0000 
 16  2600  2600     0.0520     0.0525   260.0000   257.5238     0.0000 
 17  2700  2700     0.0556     0.0561   262.4400   259.8416     0.0000 
 18  2800  2800     0.0600     0.0606   261.3333   258.7961     0.0000 
 19  2900  2900     0.0644     0.0650   261.2816   258.7692     0.0000 
 20  3000  3000     0.0687     0.0693   262.1359   259.6154     0.0000 
 21  3100  3100     0.0736     0.0743   261.2427   258.7308     0.0000 
 22  3200  3200     0.0785     0.0792   261.0196   258.4854     0.0000 
 23  3300  3300     0.0831     0.0842   262.1667   258.7723     0.0000 
 24  3400  3400     0.0883     0.0892   261.7358   259.2897     0.0000 
 25  3500  3500     0.0936     0.0955   261.6505   256.6667     0.0000 
 26  3600  3600     0.0982     0.1000   264.0000   259.2000     0.0000 
 27  3700  3700     0.1050     0.1060   260.7619   258.3019     0.0000 
 28  3800  3800     0.1100     0.1122   262.5455   257.3465     0.0000 
 29  3900  3900     0.1156     0.1167   263.2500   260.7429     0.0000 
 30  4000  4000     0.1222     0.1233   261.8182   259.4595     0.0000 
 31  4100  4100     0.1288     0.1300   261.1262   258.6154     0.0000 
 32  4200  4200     0.1350     0.1362   261.3333   258.9358     0.0000 
 33  4300  4300     0.1413     0.1425   261.8053   259.5088     0.0000 
 34  4400  4400     0.1486     0.1500   260.6154   258.1333     0.0000 
 35  4500  4500     0.1543     0.1557   262.5000   260.0917     0.0000 
 36  4600  4600     0.1629     0.1643   259.8596   257.6000     0.0000 
 37  4700  4700     0.1683     0.1700   262.4554   259.8824     0.0000 
 38  4800  4800     0.1767     0.1783   260.8302   258.3925     0.0000 
 39  4900  4900     0.1817     0.1850   264.3303   259.5676     0.0000 
 40  5000  5000     0.1917     0.1917   260.8696   260.8696     0.0000 
 41  5100  5100     0.1983     0.2000   262.2857   260.1000     0.0000 
 42  5200  5200     0.2060     0.2100   262.5243   257.5238     0.0000 
 43  5300  5300     0.2140     0.2180   262.5234   257.7064     0.0000 
 44  5400  5400     0.2220     0.2260   262.7027   258.0531     0.0000 
 45  5500  5500     0.2300     0.2340   263.0435   258.5470     0.0000 
 46  5600  5600     0.2400     0.2420   261.3333   259.1736     0.0000 
 47  5700  5700     0.2480     0.2525   262.0161   257.3465     0.0000 
 48  5800  5800     0.2550     0.2600   263.8431   258.7692     0.0000 
 49  5900  5900     0.2650     0.2675   262.7170   260.2617     0.0000 
 50  6000  6000     0.2750     0.2775   261.8182   259.4595     0.0000 
 51  6100  6100     0.2825     0.2875   263.4336   258.8522     0.0000 
 52  6200  6200     0.2925     0.2975   262.8376   258.4202     0.0000 
 53  6300  6300     0.3025     0.3050   262.4132   260.2623     0.0000 
