# COLMAJOR    = 1
# T_MIN       = 5
#RUN    M     N  INCROW  INCCOL    GEMV_MKL    GEMV_ULM    GEMVF       GEMV_MKL    GEMV_ULM    GEMVF          DIFF2
#                                  (t in s)    (t in s)    (t in s)    (MFLOPS)    (MFLOPS)    (MFLOPS)           
  0  1000  1000       1    1000      0.0004      0.0005      0.0004  5136.1278   3867.2000   5221.6000      0.0000 
  1  1100  1100       1    1100      0.0005      0.0006      0.0005  5071.3520   3913.1400   4611.5250      0.0000 
  2  1200  1200       1    1200      0.0007      0.0008      0.0007  4354.5600   3791.8080   4398.3360      0.0000 
  3  1300  1300       1    1300      0.0008      0.0009      0.0008  4272.9960   3720.0280   4335.1880      0.0000 
  4  1400  1400       1    1400      0.0009      0.0011      0.0009  4232.0320   3700.4800   4311.2176      0.0000 
  5  1500  1500       1    1500      0.0011      0.0012      0.0010  4242.2156   3713.4000   4315.5000      0.0000 
  6  1600  1600       1    1600      0.0012      0.0014      0.0012  4277.9082   3744.4471   4337.1816      0.0000 
  7  1700  1700       1    1700      0.0014      0.0015      0.0013  4258.7040   3739.6600   4331.5320      0.0000 
  8  1800  1800       1    1800      0.0015      0.0017      0.0015  4301.8922   3763.8323   4397.3280      0.0000 
  9  1900  1900       1    1900      0.0017      0.0019      0.0017  4251.1360   3745.4651   4375.2335      0.0000 
 10  2000  2000       1    2000      0.0019      0.0021      0.0018  4278.4000   3752.4950   4342.4000      0.0000 
 11  2100  2100       1    2100      0.0020      0.0024      0.0020  4327.0920   3732.2156   4381.7760      0.0000 
 12  2200  2200       1    2200      0.0022      0.0026      0.0022  4312.5270   3659.0400   4379.2320      0.0000 
 13  2300  2300       1    2300      0.0024      0.0029      0.0024  4331.2535   3602.6906   4435.1360      0.0000 
 14  2400  2400       1    2400      0.0027      0.0032      0.0026  4290.6826   3605.7600   4401.0539      0.0000 
 15  2500  2500       1    2500      0.0029      0.0035      0.0029  4297.5000   3560.0000   4375.0000      0.0000 
 16  2600  2600       1    2600      0.0031      0.0038      0.0031  4342.6240   3574.6880   4377.7760      0.0000 
 17  2700  2700       1    2700      0.0034      0.0041      0.0033  4298.3353   3557.5200   4376.9160      0.0000 
 18  2800  2800       1    2800      0.0036      0.0044      0.0035  4337.0880   3571.9040   4418.6240      0.0000 
 19  2900  2900       1    2900      0.0039      0.0047      0.0038  4268.9160   3572.5680   4398.0439      0.0000 
 20  3000  3000       1    3000      0.0042      0.0050      0.0041  4298.4000   3571.2000   4384.8000      0.0000 
 21  3100  3100       1    3100      0.0045      0.0054      0.0044  4301.4360   3578.7640   4370.6280      0.0000 
 22  3200  3200       1    3200      0.0047      0.0057      0.0046  4345.8560   3571.7120   4444.1600      0.0000 
 23  3300  3300       1    3300      0.0050      0.0061      0.0049  4338.6108   3558.8520   4438.7640      0.0000 
 24  3400  3400       1    3400      0.0054      0.0065      0.0053  4314.1920   3574.3520   4397.8762      0.0000 
 25  3500  3500       1    3500      0.0057      0.0068      0.0056  4321.8000   3581.9000   4376.7465      0.0000 
 26  3600  3600       1    3600      0.0060      0.0072      0.0060  4299.3054   3592.5120   4333.8240      0.0000 
 27  3700  3700       1    3700      0.0064      0.0076      0.0062  4301.0100   3581.3040   4391.7520      0.0000 
 28  3800  3800       1    3800      0.0067      0.0081      0.0066  4337.7760   3581.1200   4401.3120      0.0000 
 29  3900  3900       1    3900      0.0071      0.0085      0.0069  4283.1360   3577.3920   4404.8160      0.0000 
 30  4000  4000       1    4000      0.0074      0.0089      0.0073  4320.0000   3609.6000   4377.6000      0.0000 
 31  4100  4100       1    4100      0.0081      0.0094      0.0081  4128.5360   3590.6160   4175.6040      0.0000 
 32  4200  4200       1    4200      0.0081      0.0098      0.0081  4353.5520   3591.5040   4374.7200      0.0000 
 33  4300  4300       1    4300      0.0086      0.0103      0.0084  4319.2640   3587.0600   4408.0160      0.0000 
 34  4400  4400       1    4400      0.0089      0.0108      0.0088  4352.1280   3586.0439   4412.9980      0.0000 
 35  4500  4500       1    4500      0.0094      0.0113      0.0092  4316.7665   3588.3000   4406.4000      0.0000 
 36  4600  4600       1    4600      0.0100      0.0118      0.0099  4248.9280   3588.7360   4291.2480      0.0000 
 37  4700  4700       1    4700      0.0101      0.0123      0.0100  4356.1480   3587.4160   4400.3280      0.0000 
 38  4800  4800       1    4800      0.0107      0.0128      0.0105  4313.0880   3596.2635   4405.2480      0.0000 
 39  4900  4900       1    4900      0.0111      0.0134      0.0109  4321.8000   3582.2920   4409.0220      0.0000 
 40  5000  5000       1    5000      0.0116      0.0139      0.0113  4300.0000   3590.0000   4411.1776      0.0000 
 41  5100  5100       1    5100      0.0120      0.0145      0.0119  4317.6600   3589.3800   4360.9581      0.0000 
 42  5200  5200       1    5200      0.0126      0.0151      0.0124  4304.7680   3590.9120   4358.8480      0.0000 
 43  5300  5300       1    5300      0.0131      0.0157      0.0128  4283.5848   3584.2840   4393.2760      0.0000 
 44  5400  5400       1    5400      0.0134      0.0163      0.0131  4350.6720   3585.3413   4435.1138      0.0000 
 45  5500  5500       1    5500      0.0141      0.0168      0.0138  4283.4000   3591.4343   4392.3000      0.0000 
 46  5600  5600       1    5600      0.0145      0.0174      0.0143  4340.2240   3605.4611   4390.4000      0.0000 
 47  5700  5700       1    5700      0.0151      0.0182      0.0148  4301.6760   3579.7365   4392.6480      0.0000 
 48  5800  5800       1    5800      0.0157      0.0188      0.0154  4283.8962   3579.2960   4373.2000      0.0000 
 49  5900  5900       1    5900      0.0163      0.0195      0.0159  4280.0319   3578.4680   4386.0600      0.0000 
 50  6000  6000       1    6000      0.0171      0.0201      0.0168  4219.2000   3585.6000   4297.0060      0.0000 
 51  6100  6100       1    6100      0.0174      0.0207      0.0171  4271.7080   3587.0440   4361.0120      0.0000 
 52  6200  6200       1    6200      0.0182      0.0214      0.0179  4228.4000   3590.8024   4296.6866      0.0000 
 53  6300  6300       1    6300      0.0190      0.0221      0.0185  4182.8982   3587.9760   4293.8084      0.0000 
 54  6400  6400       1    6400      0.0193      0.0233      0.0187  4243.4560   3522.5600   4374.5280      0.0000 
 55  6500  6500       1    6500      0.0203      0.0237      0.0197  4157.4000   3568.5259   4292.6000      0.0000 
 56  6600  6600       1    6600      0.0207      0.0243      0.0203  4208.1916   3582.1796   4286.5817      0.0000 
 57  6700  6700       1    6700      0.0212      0.0250      0.0207  4237.6160   3591.2000   4345.3520      0.0000 
 58  6800  6800       1    6800      0.0222      0.0257      0.0218  4163.4422   3599.5210   4235.5840      0.0000 
 59  6900  6900       1    6900      0.0228      0.0265      0.0223  4181.3174   3592.1317   4276.3473      0.0000 
 60  7000  7000       1    7000      0.0236      0.0273      0.0231  4146.9062   3586.8000   4236.2550      0.0000 
 61  7100  7100       1    7100      0.0243      0.0281      0.0239  4145.4930   3589.1920   4225.9880      0.0000 
 62  7200  7200       1    7200      0.0247      0.0287      0.0243  4201.0060   3614.3426   4263.0898      0.0000 
 63  7300  7300       1    7300      0.0258      0.0298      0.0252  4135.3040   3573.9401   4233.4172      0.0000 
 64  7400  7400       1    7400      0.0264      0.0305      0.0258  4153.4531   3585.0858   4240.8942      0.0000 
 65  7500  7500       1    7500      0.0277      0.0314      0.0271  4064.3713   3585.6574   4154.1916      0.0000 
 66  7600  7600       1    7600      0.0287      0.0321      0.0283  4027.0916   3597.0299   4081.2455      0.0000 
 67  7700  7700       1    7700      0.0290      0.0330      0.0284  4086.5219   3590.4701   4181.0080      0.0000 
 68  7800  7800       1    7800      0.0304      0.0339      0.0299  4007.4252   3594.5389   4064.1120      0.0000 
 69  7900  7900       1    7900      0.0311      0.0348      0.0306  4019.2040   3587.6407   4077.7849      0.0000 
 70  8000  8000       1    8000      0.0322      0.0356      0.0317  3977.6892   3595.2191   4036.7265      0.0000 
 71  8100  8100       1    8100      0.0331      0.0365      0.0325  3962.8440   3595.4280   4033.5090      0.0000 
 72  8200  8200       1    8200      0.0351      0.0376      0.0342  3830.8048   3577.1680   3926.8160      0.0000 
 73  8300  8300       1    8300      0.0354      0.0385      0.0346  3897.3626   3582.2800   3979.7012      0.0000 
 74  8400  8400       1    8400      0.0361      0.0394      0.0353  3907.5060   3584.4480   3999.8084      0.0000 
 75  8500  8500       1    8500      0.0368      0.0405      0.0360  3922.5549   3569.3227   4017.1000      0.0000 
 76  8600  8600       1    8600      0.0377      0.0413      0.0368  3918.9960   3579.6640   4023.4240      0.0000 
 77  8700  8700       1    8700      0.0397      0.0425      0.0394  3814.7760   3565.4371   3845.0520      0.0000 
 78  8800  8800       1    8800      0.0392      0.0430      0.0388  3949.1315   3602.5765   3995.9040      0.0000 
 79  8900  8900       1    8900      0.0407      0.0442      0.0399  3889.3533   3580.2920   3968.3738      0.0000 
 80  9000  9000       1    9000      0.0416      0.0453      0.0410  3897.0179   3574.9503   3952.8000      0.0000 
