# COLMAJOR    = 0
# T_MIN       = 5
#RUN    M     N  INCROW  INCCOL    GEMV_MKL    GEMV_ULM    GEMV_MAT    GEMV_MKL    GEMV_ULM    GEMV_MAT       DIFF2
#                                  (t in s)    (t in s)    (t in s)    (MFLOPS)    (MFLOPS)    (MFLOPS)           
  0  1000  1000    1000       1      0.0004      0.0009      0.0009  5667.8643   2303.3932   2243.6000      0.0000 
  1  1100  1100    1100       1      0.0005      0.0010      0.0011  5164.7640   2304.8080   2299.2415      0.0000 
  2  1200  1200    1200       1      0.0006      0.0012      0.0013  4982.4000   2306.2994   2240.6400      0.0000 
  3  1300  1300    1300       1      0.0007      0.0015      0.0015  4738.0719   2309.8920   2304.4840      0.0000 
  4  1400  1400    1400       1      0.0009      0.0017      0.0017  4537.7920   2312.8000   2257.1360      0.0000 
  5  1500  1500    1500       1      0.0010      0.0019      0.0020  4382.1000   2328.3000   2298.6000      0.0000 
  6  1600  1600    1600       1      0.0012      0.0022      0.0023  4346.3792   2310.1440   2275.3280      0.0000 
  7  1700  1700    1700       1      0.0013      0.0025      0.0025  4358.6507   2337.3812   2307.3760      0.0000 
  8  1800  1800    1800       1      0.0015      0.0028      0.0029  4458.3952   2323.7280   2256.3360      0.0000 
  9  1900  1900    1900       1      0.0016      0.0031      0.0031  4425.8600   2336.3920   2308.6707      0.0000 
 10  2000  2000    2000       1      0.0018      0.0034      0.0035  4394.4112   2331.2000   2273.6000      0.0000 
 11  2100  2100    2100       1      0.0020      0.0038      0.0038  4385.3533   2328.4800   2316.7904      0.0000 
 12  2200  2200    2200       1      0.0022      0.0042      0.0043  4426.5230   2330.1557   2276.7360      0.0000 
 13  2300  2300    2300       1      0.0024      0.0045      0.0046  4424.5560   2344.5280   2312.7880      0.0000 
 14  2400  2400    2400       1      0.0026      0.0049      0.0051  4414.8503   2329.3440   2274.0480      0.0000 
 15  2500  2500    2500       1      0.0028      0.0053      0.0054  4436.1277   2337.5000   2322.5000      0.0000 
 16  2600  2600    2600       1      0.0030      0.0058      0.0059  4482.3792   2331.5928   2277.6208      0.0000 
 17  2700  2700    2700       1      0.0033      0.0063      0.0063  4432.3200   2329.8840   2312.3880      0.0000 
 18  2800  2800    2800       1      0.0035      0.0067      0.0069  4475.0720   2342.5920   2279.8720      0.0000 
 19  2900  2900    2900       1      0.0038      0.0072      0.0073  4427.0240   2333.3134   2314.4320      0.0000 
 20  3000  3000    3000       1      0.0041      0.0077      0.0079  4431.6000   2329.2000   2278.8000      0.0000 
 21  3100  3100    3100       1      0.0043      0.0082      0.0083  4432.1320   2333.3080   2313.3054      0.0000 
 22  3200  3200    3200       1      0.0046      0.0088      0.0089  4435.9680   2334.7200   2289.6640      0.0000 
 23  3300  3300    3300       1      0.0049      0.0093      0.0094  4469.2560   2334.8160   2313.0360      0.0000 
 24  3400  3400    3400       1      0.0052      0.0099      0.0101  4448.2880   2335.1200   2279.6320      0.0000 
 25  3500  3500    3500       1      0.0055      0.0105      0.0105  4454.9900   2332.4000   2322.6000      0.0000 
 26  3600  3600    3600       1      0.0059      0.0111      0.0113  4370.1120   2333.3174   2286.1440      0.0000 
 27  3700  3700    3700       1      0.0062      0.0117      0.0118  4441.0360   2338.2520   2310.8720      0.0000 
 28  3800  3800    3800       1      0.0064      0.0123      0.0127  4499.5040   2345.0560   2275.7440      0.0000 
 29  3900  3900    3900       1      0.0068      0.0130      0.0131  4483.9080   2331.5928   2318.0040      0.0000 
 30  4000  4000    4000       1      0.0072      0.0137      0.0140  4460.8000   2331.3373   2291.2000      0.0000 
 31  4100  4100    4100       1      0.0080      0.0144      0.0145  4215.9480   2335.2814   2313.0560      0.0000 
 32  4200  4200    4200       1      0.0079      0.0151      0.0155  4487.6160   2337.9162   2279.0880      0.0000 
 33  4300  4300    4300       1      0.0083      0.0158      0.0160  4467.1840   2339.8523   2314.9480      0.0000 
 34  4400  4400    4400       1      0.0087      0.0166      0.0169  4476.0320   2338.6880   2284.4800      0.0000 
 35  4500  4500    4500       1      0.0091      0.0174      0.0175  4463.1000   2332.8000   2316.6000      0.0000 
 36  4600  4600    4600       1      0.0097      0.0182      0.0186  4350.4960   2331.4012   2280.7186      0.0000 
 37  4700  4700    4700       1      0.0098      0.0189      0.0191  4506.1836   2336.8663   2315.0320      0.0000 
 38  4800  4800    4800       1      0.0103      0.0198      0.0202  4469.7600   2331.6480   2285.5680      0.0000 
 39  4900  4900    4900       1      0.0107      0.0206      0.0207  4485.0680   2334.0398   2319.5289      0.0000 
 40  5000  5000    5000       1      0.0113      0.0214      0.0219  4440.0000   2335.3293   2285.4291      0.0000 
 41  5100  5100    5100       1      0.0118      0.0222      0.0225  4412.8743   2340.9000   2315.4611      0.0000 
 42  5200  5200    5200       1      0.0122      0.0231      0.0236  4425.7086   2336.2560   2288.4152      0.0000 
 43  5300  5300    5300       1      0.0127      0.0240      0.0243  4418.1477   2337.0880   2314.6160      0.0000 
 44  5400  5400    5400       1      0.0129      0.0249      0.0256  4513.9680   2339.7844   2277.0359      0.0000 
 45  5500  5500    5500       1      0.0137      0.0259      0.0261  4428.6000   2335.3000   2313.9442      0.0000 
 46  5600  5600    5600       1      0.0142      0.0268      0.0275  4428.0320   2341.0459   2283.0080      0.0000 
 47  5700  5700    5700       1      0.0146      0.0278      0.0280  4444.6320   2334.6108   2317.0159      0.0000 
 48  5800  5800    5800       1      0.0153      0.0287      0.0295  4391.3293   2341.3440   2278.4064      0.0000 
 49  5900  5900    5900       1      0.0159      0.0298      0.0301  4391.2016   2339.2320   2316.0438      0.0000 
 50  6000  6000    6000       1      0.0166      0.0308      0.0315  4340.1198   2337.8486   2285.0299      0.0000 
 51  6100  6100    6100       1      0.0168      0.0318      0.0321  4420.5480   2342.3028   2317.2695      0.0000 
 52  6200  6200    6200       1      0.0176      0.0329      0.0337  4366.7840   2337.1520   2281.8964      0.0000 
 53  6300  6300    6300       1      0.0184      0.0339      0.0343  4318.2720   2340.2869   2313.2695      0.0000 
 54  6400  6400    6400       1      0.0190      0.0352      0.0358  4300.3912   2328.9384   2289.1816      0.0000 
 55  6500  6500    6500       1      0.0196      0.0361      0.0365  4309.5000   2339.7410   2315.3000      0.0000 
 56  6600  6600    6600       1      0.0202      0.0373      0.0382  4321.1520   2338.2107   2277.9880      0.0000 
 57  6700  6700    6700       1      0.0205      0.0384      0.0388  4381.2640   2338.2068   2316.3240      0.0000 
 58  6800  6800    6800       1      0.0218      0.0395      0.0404  4235.5840   2339.6335   2288.9261      0.0000 
 59  6900  6900    6900       1      0.0223      0.0407      0.0411  4265.8560   2342.4120   2318.7305      0.0000 
 60  7000  7000    7000       1      0.0230      0.0419      0.0430  4253.2000   2337.9722   2279.5229      0.0000 
 61  7100  7100    7100       1      0.0238      0.0431      0.0434  4234.4400   2339.0240   2320.4603      0.0000 
 62  7200  7200    7200       1      0.0243      0.0443      0.0455  4271.6160   2338.4910   2280.9600      0.0000 
 63  7300  7300    7300       1      0.0255      0.0455      0.0461  4182.5219   2340.0798   2314.1873      0.0000 
 64  7400  7400    7400       1      0.0259      0.0469      0.0480  4227.4720   2334.3904   2281.6667      0.0000 
 65  7500  7500    7500       1      0.0269      0.0481      0.0485  4185.0000   2340.0000   2317.5000      0.0000 
 66  7600  7600    7600       1      0.0278      0.0494      0.0505  4150.4192   2337.9048   2287.2960      0.0000 
