# COLMAJOR    = 0
# T_MIN       = 5
#RUN    M     N  INCROW  INCCOL    GEMV_MKL    GEMV_ULM    GEMV_MAT    GEMV_MKL    GEMV_ULM    GEMV_MAT       DIFF2
#                                  (t in s)    (t in s)    (t in s)    (MFLOPS)    (MFLOPS)    (MFLOPS)           
  0  1000  1000    1000       1      0.0004      0.0009      0.0009  5684.2315   2321.3573   2240.3194      0.0000 
  1  1100  1100    1100       1      0.0005      0.0010      0.0011  5103.2960   2307.4531   2285.9320      0.0000 
  2  1200  1200    1200       1      0.0006      0.0012      0.0013  4910.4000   2304.5760   2256.1920      0.0000 
  3  1300  1300    1300       1      0.0007      0.0015      0.0015  4734.6986   2301.2335   2290.9640      0.0000 
  4  1400  1400    1400       1      0.0009      0.0017      0.0017  4321.4080   2309.6640   2242.2400      0.0000 
  5  1500  1500    1500       1      0.0010      0.0019      0.0020  4387.7246   2317.3653   2294.1000      0.0000 
  6  1600  1600    1600       1      0.0012      0.0022      0.0023  4320.2560   2320.3840   2272.2560      0.0000 
  7  1700  1700    1700       1      0.0013      0.0025      0.0025  4324.5960   2329.3054   2313.1560      0.0000 
  8  1800  1800    1800       1      0.0015      0.0028      0.0029  4388.2560   2334.0960   2262.8160      0.0000 
  9  1900  1900    1900       1      0.0017      0.0031      0.0031  4366.5868   2342.1680   2308.9560      0.0000 
 10  2000  2000    2000       1      0.0018      0.0034      0.0035  4363.2000   2331.2000   2273.8523      0.0000 
 11  2100  2100    2100       1      0.0020      0.0038      0.0038  4351.7880   2343.1976   2309.7485      0.0000 
 12  2200  2200    2200       1      0.0022      0.0042      0.0043  4408.2720   2330.9440   2270.2595      0.0000 
 13  2300  2300    2300       1      0.0024      0.0045      0.0046  4447.8320   2340.2960   2312.3952      0.0000 
 14  2400  2400    2400       1      0.0026      0.0050      0.0051  4401.0539   2324.7360   2271.7440      0.0000 
 15  2500  2500    2500       1      0.0028      0.0054      0.0054  4411.1776   2335.0000   2310.0000      0.0000 
 16  2600  2600    2600       1      0.0030      0.0058      0.0059  4450.7840   2334.2914   2274.0640      0.0000 
 17  2700  2700    2700       1      0.0033      0.0062      0.0063  4417.6527   2335.7160   2313.5928      0.0000 
 18  2800  2800    2800       1      0.0035      0.0067      0.0069  4453.1200   2336.3200   2286.1440      0.0000 
 19  2900  2900    2900       1      0.0038      0.0072      0.0073  4423.6600   2334.6160   2314.4320      0.0000 
 20  3000  3000    3000       1      0.0041      0.0077      0.0079  4420.8000   2329.2000   2275.2000      0.0000 
 21  3100  3100    3100       1      0.0044      0.0082      0.0083  4397.5360   2333.3080   2310.2440      0.0000 
 22  3200  3200    3200       1      0.0046      0.0088      0.0089  4427.7760   2334.7200   2289.6640      0.0000 
 23  3300  3300    3300       1      0.0049      0.0093      0.0094  4456.1880   2339.1720   2313.0360      0.0000 
 24  3400  3400    3400       1      0.0052      0.0099      0.0102  4439.4092   2330.4960   2275.0080      0.0000 
 25  3500  3500    3500       1      0.0055      0.0105      0.0106  4459.8802   2332.4000   2317.9641      0.0000 
 26  3600  3600    3600       1      0.0059      0.0111      0.0113  4401.2160   2332.8000   2286.1440      0.0000 
 27  3700  3700    3700       1      0.0062      0.0117      0.0118  4446.5120   2332.7760   2316.3480      0.0000 
 28  3800  3800    3800       1      0.0065      0.0124      0.0127  4476.4000   2333.5040   2275.7440      0.0000 
 29  3900  3900    3900       1      0.0068      0.0130      0.0131  4465.6560   2336.2560   2318.0040      0.0000 
 30  4000  4000    4000       1      0.0072      0.0137      0.0140  4448.0000   2336.0000   2278.4000      0.0000 
 31  4100  4100    4100       1      0.0080      0.0144      0.0144  4215.9480   2339.9520   2328.5709      0.0000 
 32  4200  4200    4200       1      0.0079      0.0151      0.0154  4466.4480   2335.5360   2284.0637      0.0000 
 33  4300  4300    4300       1      0.0083      0.0158      0.0160  4481.9760   2337.1360   2314.9480      0.0000 
 34  4400  4400    4400       1      0.0086      0.0166      0.0169  4483.7760   2338.6880   2284.4800      0.0000 
 35  4500  4500    4500       1      0.0091      0.0173      0.0175  4455.0000   2336.2275   2316.6000      0.0000 
 36  4600  4600    4600       1      0.0097      0.0181      0.0186  4350.2595   2344.5280   2276.8160      0.0000 
 37  4700  4700    4700       1      0.0098      0.0189      0.0191  4497.5240   2336.8663   2315.0320      0.0000 
 38  4800  4800    4800       1      0.0103      0.0198      0.0201  4469.7600   2331.6480   2294.7840      0.0000 
 39  4900  4900    4900       1      0.0108      0.0205      0.0207  4465.8600   2343.3760   2314.5640      0.0000 
 40  5000  5000    5000       1      0.0113      0.0214      0.0220  4440.0000   2335.3293   2275.4491      0.0000 
 41  5100  5100    5100       1      0.0118      0.0222      0.0225  4423.2575   2341.9363   2315.4611      0.0000 
 42  5200  5200    5200       1      0.0122      0.0231      0.0237  4434.5600   2336.2560   2283.8566      0.0000 
 43  5300  5300    5300       1      0.0127      0.0240      0.0243  4440.5749   2337.0880   2314.6160      0.0000 
 44  5400  5400    5400       1      0.0129      0.0249      0.0255  4513.9680   2339.7844   2286.1440      0.0000 
 45  5500  5500    5500       1      0.0137      0.0259      0.0261  4428.6000   2335.3000   2318.5629      0.0000 
 46  5600  5600    5600       1      0.0142      0.0268      0.0275  4415.4880   2336.3825   2283.0080      0.0000 
 47  5700  5700    5700       1      0.0146      0.0278      0.0280  4435.7605   2339.2800   2317.0159      0.0000 
 48  5800  5800    5800       1      0.0153      0.0287      0.0295  4391.3293   2341.3440   2278.4064      0.0000 
 49  5900  5900    5900       1      0.0158      0.0298      0.0300  4399.9840   2339.2320   2320.6667      0.0000 
 50  6000  6000    6000       1      0.0166      0.0307      0.0314  4348.8000   2342.5150   2289.6000      0.0000 
 51  6100  6100    6100       1      0.0169      0.0318      0.0321  4411.7245   2337.6461   2317.2695      0.0000 
 52  6200  6200    6200       1      0.0177      0.0328      0.0337  4342.7226   2343.1554   2281.8964      0.0000 
 53  6300  6300    6300       1      0.0184      0.0340      0.0342  4318.2720   2335.6342   2317.8960      0.0000 
 54  6400  6400    6400       1      0.0190      0.0352      0.0359  4308.9920   2328.9384   2284.6215      0.0000 
 55  6500  6500    6500       1      0.0196      0.0361      0.0364  4300.8982   2339.7410   2318.2903      0.0000 
 56  6600  6600    6600       1      0.0202      0.0373      0.0382  4312.5269   2338.2107   2282.5440      0.0000 
 57  6700  6700    6700       1      0.0205      0.0384      0.0388  4372.5190   2338.2068   2316.3240      0.0000 
 58  6800  6800    6800       1      0.0218      0.0395      0.0405  4235.5840   2339.6335   2284.3665      0.0000 
