                          GEMM BEST               GEMM BLOCKED 
    m     n     k       t   mflops      t   mflops        res
  100   100   100    0.00      inf   0.00      inf   3.34e-10
  200   200   200    0.01  1600.00   0.00      inf   3.80e-09
  300   300   300    0.02  2700.00   0.02  2700.00   1.21e-08
  400   400   400    0.03  4266.67   0.06  2133.33   2.93e-08
  500   500   500    0.05  5000.00   0.12  2083.33   6.04e-08
  600   600   600    0.10  4320.00   0.20  2160.00   1.15e-07
  700   700   700    0.15  4573.33   0.32  2143.75   2.05e-07
  800   800   800    0.24  4266.67   0.48  2133.33   3.52e-07
  900   900   900    0.36  4050.00   0.68  2144.12   5.85e-07
 1000  1000  1000    0.50  4000.00   0.93  2150.54   9.54e-07
 1100  1100  1100    0.68  3914.71   1.24  2146.77   1.52e-06
 1200  1200  1200    0.89  3883.15   1.60  2160.00   2.40e-06
 1300  1300  1300    1.13  3888.50   2.05  2143.41   3.75e-06
 1400  1400  1400    1.42  3864.79   2.56  2143.75   5.79e-06
 1500  1500  1500    1.75  3857.14   3.14  2149.68   8.91e-06
 1600  1600  1600    2.14  3828.04   3.82  2144.50   1.36e-05
 1700  1700  1700    2.57  3823.35   4.56  2154.82   2.08e-05
 1800  1800  1800    3.05  3824.26   5.43  2148.07   3.16e-05
 1900  1900  1900    3.59  3821.17   6.38  2150.16   4.79e-05
 2000  2000  2000    4.20  3809.52   7.44  2150.54   7.25e-05
 2100  2100  2100    4.94  3749.39   8.62  2148.72   1.10e-04
 2200  2200  2200    5.78  3684.43   9.92  2146.77   1.65e-04
 2300  2300  2300    6.69  3637.37  11.33  2147.75   2.49e-04
 2400  2400  2400    7.64  3618.85  12.88  2146.58   3.75e-04
 2500  2500  2500    8.68  3600.23  14.56  2146.29   5.65e-04
 2600  2600  2600    9.80  3586.94  16.39  2144.72   8.49e-04
 2700  2700  2700   10.99  3581.98  18.36  2144.12   1.28e-03
 2800  2800  2800   12.26  3581.08  20.47  2144.80   1.92e-03
 2900  2900  2900   13.60  3586.62  22.74  2145.03   2.88e-03
 3000  3000  3000   15.03  3592.81  25.17  2145.41   4.33e-03
 3100  3100  3100   16.59  3591.44  27.77  2145.55   6.50e-03
 3200  3200  3200   18.33  3575.34  30.63  2139.60   9.77e-03
 3300  3300  3300   20.04  3586.53  33.51  2144.85   1.47e-02
 3400  3400  3400   21.92  3586.13  36.63  2146.00   2.20e-02
 3500  3500  3500   23.84  3596.90  39.94  2146.97   3.31e-02
 3600  3600  3600   25.94  3597.22  43.45  2147.57   4.97e-02
 3700  3700  3700   28.23  3588.59  47.19  2146.77   7.45e-02
 3800  3800  3800   30.61  3585.23  51.13  2146.37   1.12e-01
 3900  3900  3900   33.04  3590.74  55.26  2146.91   1.68e-01
 4000  4000  4000   35.51  3604.62  59.59  2148.01   2.52e-01
 4100  4100  4100   38.34  3595.25  65.96  2089.78   3.78e-01
 4200  4200  4200   41.30  3587.80  69.01  2147.17   5.67e-01
 4300  4300  4300   44.31  3588.67  74.10  2145.94   8.51e-01
 4400  4400  4400   47.45  3590.47  79.40  2145.69   1.28e+00
 4500  4500  4500   50.69  3595.38  84.93  2145.88   1.92e+00
 4600  4600  4600   54.17  3593.72  90.70  2146.33   2.88e+00
 4700  4700  4700   57.83  3590.63  96.81  2144.88   4.32e+00
 4800  4800  4800   61.43  3600.59 103.58  2135.39   6.48e+00
 4900  4900  4900   65.54  3590.14 109.71  2144.73   9.71e+00
 5000  5000  5000   69.63  3590.41 116.58  2144.45   1.46e+01
